Country,Year,Energy,Fugi,FC,coal,oil,gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
People's Rep. of China,1971,900.9033828,45807.0339,855.0963489,677.1949443,114.3927467,7.368577125,2.408285421,0,47.648,3.116,1.937,0.928
People's Rep. of China,1972,957.5184792,48715.18673,908.8032925,709.3013867,132.4287086,9.536459779,2.458069205,0,48.272,3.198,1.988,0.964
People's Rep. of China,1973,994.1154002,50754.1041,943.3612961,720.0573058,152.6573731,11.78097724,2.610531839,0,48.378,3.085,1.918,0.98
People's Rep. of China,1974,1014.37689,52202.1295,962.17476,712.5564954,174.6925077,14.83132896,2.663426907,0,48.109,3.077,1.912,0.979
People's Rep. of China,1975,1175.648346,61164.15778,1114.484188,840.6398396,195.2435755,17.43541273,2.819000825,0,50.856,3.304,2.053,1.123
People's Rep. of China,1976,1220.798897,62929.93078,1157.868966,844.9745074,230.8784921,19.8968067,2.8750075,0,51.179,3.493,2.171,1.151
People's Rep. of China,1977,1374.592351,70988.10678,1303.604244,969.7812052,246.9779204,23.87362077,3.033693026,0,53.194,3.677,2.285,1.286
People's Rep. of China,1981,1533.815456,80749.03218,1453.066424,1138.603266,223.1443279,25.075942,3.481746106,0.207278424,54.593,3.029,1.883,1.365
People's Rep. of China,1980,1540.9941,82380.20292,1458.613898,1128.664093,236.3163654,28.1402884,3.316837687,0.102044841,54.467,3.201,1.99,1.39
People's Rep. of China,1978,1545.688239,79654.14668,1466.034093,1105.02448,270.2050751,26.98470087,3.092810986,0,55.521,3.735,2.322,1.435
People's Rep. of China,1979,1573.802975,81921.04693,1491.881928,1134.305287,264.3642584,28.53553182,3.25460812,0,55.588,3.533,2.196,1.441
People's Rep. of China,1982,1597.10124,85195.6515,1511.905588,1203.227626,218.1473222,23.52423805,3.547087281,0.491264341,55.153,2.895,1.8,1.401
People's Rep. of China,1983,1676.620147,90782.48043,1585.837667,1270.956163,223.1280763,24.0655033,3.715106983,0.637265968,55.729,2.746,1.707,1.451
People's Rep. of China,1984,1823.156936,99758.13595,1723.3988,1401.876733,228.4856464,24.92397922,3.783559766,0.714275453,57.294,2.599,1.616,1.562
People's Rep. of China,1985,1835.852211,103466.2388,1732.385972,1420.130033,227.3996355,16.23492778,3.954691076,0.847733433,56.174,2.299,1.429,1.547
People's Rep. of China,1986,1936.56061,106616.5778,1829.944033,1498.772768,244.4880513,17.28821543,4.026255143,0.952967016,57.417,2.235,1.389,1.614
People's Rep. of China,1987,2064.297355,110574.7208,1953.722634,1609.159499,256.2977913,18.10060836,4.200498062,1.058200899,58.46,2.142,1.331,1.7
People's Rep. of China,1988,2216.177742,116111.137,2100.066605,1736.227044,274.9717834,17.91111306,4.275173413,1.163434482,59.757,2.076,1.29,1.802
People's Rep. of China,1989,2294.293512,123891.5744,2170.401938,1797.321339,281.9974846,19.12005628,4.452527939,1.284347924,60.601,2.062,1.282,1.837
People's Rep. of China,1990,2332.867857,128280.4192,2204.587438,1830.756313,281.0455177,19.84030118,4.338236335,1.304306954,57.108,2.017,1.254,1.84
People's Rep. of China,1991,2446.891519,129073.5577,2317.817961,1920.848441,303.3599404,19.95754374,6.103315332,1.156305548,61.99,1.95,1.212,1.913
People's Rep. of China,1992,2543.203942,132194.7482,2411.009193,1987.562298,328.4561178,20.9229596,9.921933949,1.350169078,62.536,1.78,1.106,1.971
People's Rep. of China,1993,2757.634776,140119.1346,2617.515641,2138.131977,379.7886402,25.14372391,8.0577522,1.7506833,64.307,1.702,1.058,2.122
People's Rep. of China,1994,2866.984184,152469.068,2714.515116,2248.541809,367.738847,23.97047606,8.758842267,2.069930269,63.826,1.566,0.973,2.181
People's Rep. of China,1996,3159.769512,177726.8848,2982.042627,2465.44515,416.7777542,25.87474542,10.22512396,2.190116968,63.901,1.418,0.882,2.359
People's Rep. of China,1995,3189.313679,171290.5149,3018.023164,2512.35322,404.8725379,26.87526445,8.956198969,2.218255404,66.324,1.574,0.979,2.407
People's Rep. of China,1999,3200.391433,170883.0663,3029.508367,2421.179402,503.9069532,31.70902073,7.445422501,3.411690751,63.502,1.137,0.707,2.332
People's Rep. of China,1997,3215.365872,174399.501,3040.966371,2486.590394,450.412854,30.01897364,6.611087943,3.516223125,65.123,1.322,0.822,2.379
People's Rep. of China,1998,3303.329141,172111.5732,3131.217568,2566.755918,462.3500887,29.03837556,7.334185871,3.306468094,66.903,1.266,0.787,2.432
People's Rep. of China,2000,3387.35214,181142.1245,3206.210015,2560.013656,538.9670028,35.89033638,9.578261943,4.216125695,65.282,1.111,0.691,2.453
People's Rep. of China,2001,3553.035726,192829.0432,3360.206683,2697.487063,552.2008489,42.22219668,10.15146428,5.36865789,66.373,1.078,0.67,2.558
People's Rep. of China,2002,3818.509991,201872.215,3616.637776,2923.775572,582.1077034,43.47132668,11.25383816,6.1333756,67.326,1.065,0.662,2.741
People's Rep. of China,2003,4411.730568,235879.317,4175.851251,3413.498764,644.873976,52.69509314,11.43896563,5.590142654,68.411,1.122,0.697,3.155
People's Rep. of China,2004,5125.30271,271715.7157,4853.586994,3962.910243,764.9122767,64.01723716,14.51062428,8.186336839,70.049,1.188,0.738,3.657
People's Rep. of China,2005,5829.46519,305402.1135,5524.063077,4612.786337,780.2025943,71.77778765,16.30885887,10.07335679,72.504,1.216,0.756,4.148
People's Rep. of China,2006,6413.133913,332236.6895,6080.897224,5099.00645,829.1028201,94.45331079,18.85931674,11.84320872,73.072,1.19,0.74,4.547
People's Rep. of China,2007,6950.160929,360293.2155,6589.867713,5558.376219,860.353225,117.7708194,22.03566387,12.01587737,73.711,1.131,0.703,4.912
People's Rep. of China,2008,7152.461098,370165.273,6782.295825,5725.437573,872.3117935,136.0965195,22.22342268,11.0723674,73.95,1.063,0.661,5.034
People's Rep. of China,2009,7634.682663,391213.8052,7243.468858,6167.692433,878.0595863,152.2819102,23.09354051,12.79905216,74.153,1.039,0.646,5.357
People's Rep. of China,2010,8372.162973,428398.5075,7943.764466,6628.137629,1024.976957,225.8950894,27.91583308,15.5586649,73.744,1.031,0.641,5.854
People's Rep. of China,2011,9149.767868,465976.1165,8683.791751,7339.411762,1044.495556,234.1465293,29.47958794,17.49193538,75.187,1.03,0.64,6.371
People's Rep. of China,2012,9400.860681,464343.7633,8936.516918,7493.96736,1118.063877,259.9392496,28.76062635,18.41694514,74.723,0.983,0.611,6.515
People's Rep. of China,2016,9684.342919,444099.1453,9240.243773,7489.056021,1308.442311,382.2113661,31.2823848,25.78618983,73.137,0.769,0.478,6.577
People's Rep. of China,2015,9729.436137,479771.6005,9249.664536,7557.912653,1279.628229,351.5590635,29.84166203,23.34724745,72.767,0.822,0.511,6.62
People's Rep. of China,2013,9821.445176,479947.581,9341.497595,7804.882224,1170.355061,301.4953079,24.96284872,19.71195886,75.715,0.954,0.593,6.769
People's Rep. of China,2014,9839.291761,486895.0518,9352.396709,7755.450876,1198.679736,332.0249852,23.15410382,21.46639395,73.927,0.89,0.553,6.734
People's Rep. of China,2017,9899.250191,453498.7783,9445.751413,7591.029631,1347.346759,444.3847858,32.90769185,28.62936156,72.073,0.735,0.457,6.684
People's Rep. of China,2018,10378.26751,478123.9738,9900.143538,7836.385382,1474.575388,527.2336599,37.66310739,31.13212997,72.14,0.722,0.449,6.978
People's Rep. of China,2019,10556.44302,496910.2058,10059.53281,7914.289781,1511.315811,576.9375426,37.0447262,32.11664845,70.128,0.693,0.431,7.068
People's Rep. of China,2020,10672.36855,509926.3955,10162.44216,7966.579494,1521.17197,619.3002553,39.79027703,14.71073906,68.586,0.685,0.426,7.124
People's Rep. of China,2021,11314.48859,553032.8265,10761.45576,8426.499593,1579.470105,702.5795171,43.88379552,13.50205967,68.037,0.669,0.416,7.54